order_id,customer_id,product,category,price,quantity,order_date,region,payment_method
1001,C001,Laptop,Electronics,55000,1,2026-09-01,Bengaluru,UPI
1002,C002,Mouse,Electronics,800,2,2026-09-01,Mumbai,Card
1003,C003,Keyboard,Electronics,1800,1,2026-09-01,Delhi,UPI
1004,C004,Monitor,Electronics,12000,2,2026-09-02,Bengaluru,Card
1005,C005,Headphones,Accessories,2500,1,2026-09-02,Hyderabad,UPI
1006,C006,Laptop,Electronics,55000,1,2026-09-03,Chennai,Card
1007,C007,Mouse,Electronics,800,5,2026-09-03,Bengaluru,Cash
1008,C008,Keyboard,Electronics,1800,2,2026-09-04,Mumbai,UPI
1009,C009,Monitor,Electronics,12000,1,2026-09-04,Delhi,Card
1010,C010,Laptop,Electronics,55000,2,2026-09-05,Bengaluru,UPI
1011,C011,Headphones,Accessories,2500,2,2026-09-05,Hyderabad,Card
1012,C012,Mouse,Electronics,800,3,2026-09-06,Chennai,UPI
1013,C013,Monitor,Electronics,12000,1,2026-09-06,Mumbai,Card
1014,C014,Laptop,Electronics,55000,1,2026-09-07,Delhi,UPI
1015,C015,Keyboard,Electronics,1800,1,2026-09-07,Bengaluru,Card
1016,C016,Mouse,Electronics,800,4,2026-09-08,Hyderabad,UPI
1017,C017,Laptop,Electronics,55000,1,2026-09-08,Chennai,Card
1018,C018,Headphones,Accessories,2500,3,2026-09-09,Bengaluru,UPI
1019,C019,Monitor,Electronics,12000,2,2026-09-09,Delhi,Card
1020,C020,Mouse,Electronics,800,6,2026-09-10,Mumbai,UPI
